G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season,Outcome,Player
0,0,0.8999999999999986,0.20000000000000018,0.0,0.014000000000000012,0.30000000000000004,-0.2999999999999998,0.08100000000000002,-0.10000000000000009,0.2999999999999998,-0.03600000000000003,0.025999999999999912,-0.5,-0.5,-0.03200000000000003,0.0,0.19999999999999973,0.19999999999999973,0.10000000000000009,0.19999999999999996,-0.09999999999999998,-0.10000000000000009,-0.4999999999999998,0.1999999999999993,2010,0,Ray Allen\allenra02
-34,-38,-2.1000000000000014,-1.0999999999999996,-1.5,-0.032999999999999974,0.19999999999999973,0.39999999999999947,0.009000000000000008,-1.2999999999999998,-1.9000000000000004,-0.056999999999999995,-0.01100000000000001,-0.2999999999999998,-0.40000000000000036,0.03400000000000003,-0.3,0.0,-0.2999999999999998,-0.30000000000000027,0.10000000000000009,0.0,0.0,0.0,-2.3000000000000007,2011,0,Ray Allen\allenra02
33,-42,-8.2,-1.2000000000000002,-2.5,-0.009000000000000008,-0.4999999999999998,-0.8999999999999995,-0.03400000000000003,-0.7000000000000002,-1.5999999999999996,0.01699999999999996,-0.010999999999999899,-0.30000000000000004,-0.2999999999999998,-0.029000000000000026,0.2,-0.5999999999999996,-0.3999999999999999,-0.7,-0.30000000000000004,0.0,-0.19999999999999996,-0.19999999999999996,-3.299999999999999,2012,0,Ray Allen\allenra02
-6,9,0.6999999999999993,-0.40000000000000036,-0.7999999999999989,-0.007000000000000006,-0.19999999999999996,0.0,-0.043999999999999984,-0.19999999999999996,-0.7999999999999998,0.050000000000000044,-0.006000000000000005,-0.40000000000000013,-0.3999999999999999,0.019000000000000017,-0.2,0.2999999999999998,0.09999999999999964,0.30000000000000004,-0.10000000000000009,-0.1,-0.10000000000000009,0.0,-1.3000000000000007,2013,0,Ray Allen\allenra02
13,5,4.2,0.5,1.5,-0.01100000000000001,0.3,0.5999999999999999,0.11299999999999999,0.20000000000000007,0.8999999999999999,-0.08199999999999996,0.010999999999999954,0.2,0.19999999999999996,-0.07099999999999995,0.1,0.5,0.5999999999999999,1.0999999999999999,0.19999999999999996,0.0,0.30000000000000004,0.10000000000000009,1.4,2001,0,Rafer Alston\alstora01
-3,-3,8.899999999999999,1.7,3.3,0.069,0.6000000000000001,1.4,0.01200000000000001,1.0999999999999999,2.0000000000000004,0.10399999999999998,0.07500000000000001,0.4,0.5000000000000001,0.06400000000000006,0.2,0.6000000000000001,0.8999999999999999,1.1999999999999997,0.20000000000000007,0.3,1.0,1.8,4.3,2002,0,Rafer Alston\alstora01
35,24,10.600000000000001,0.5,2.200000000000001,-0.03899999999999998,0.8999999999999999,2.5,-0.02100000000000002,-0.3999999999999999,-0.40000000000000036,-0.046999999999999986,-0.010000000000000009,0.5,0.5,0.08399999999999996,-0.10000000000000003,0.5999999999999999,0.5,0.40000000000000036,0.5999999999999999,-0.09999999999999998,-0.19999999999999996,0.0,2.3999999999999995,2003,0.026,Rafer Alston\alstora01
-2,50,2.5,1.5,2.8999999999999986,0.03799999999999998,-0.30000000000000004,-0.39999999999999947,-0.014000000000000012,1.7999999999999998,3.3,0.069,0.0040000000000000036,1.0999999999999999,1.6,-0.029000000000000026,0.2,0.6000000000000001,0.7000000000000002,1.9000000000000004,0.10000000000000009,-0.1,0.5,0.10000000000000009,4.0,2004,0,Rafer Alston\alstora01
-17,-15,4.600000000000001,-0.5999999999999996,-0.5,-0.034999999999999976,-0.09999999999999987,0.09999999999999964,-0.02999999999999997,-0.5,-0.5,-0.03300000000000003,-0.035999999999999976,-0.7999999999999998,-0.9000000000000004,-0.04800000000000004,0.09999999999999998,0.5,0.5,0.2999999999999998,0.10000000000000009,0.1,0.3999999999999999,0.3999999999999999,-2.0999999999999996,2005,0,Rafer Alston\alstora01
19,19,-1.5,0.2999999999999998,0.7000000000000011,-0.0040000000000000036,0.6999999999999997,1.5,0.035999999999999976,-0.5,-0.7999999999999998,-0.02899999999999997,0.020999999999999963,0.0,-0.09999999999999964,0.04200000000000004,-0.19999999999999996,-0.3999999999999999,-0.6000000000000001,-1.2999999999999998,0.0,-0.1,-0.3999999999999999,-0.7000000000000002,1.200000000000001,2006,0,Rafer Alston\alstora01
-8,-8,-3.0,0.20000000000000018,0.09999999999999964,0.019000000000000017,-0.3999999999999999,-1.0,-0.01200000000000001,0.7000000000000002,1.0,0.03799999999999998,0.0010000000000000009,-0.30000000000000004,-0.30000000000000027,-0.019000000000000017,0.0,0.0,0.10000000000000009,-0.10000000000000053,-0.30000000000000004,0.1,0.10000000000000009,-0.5,-0.20000000000000107,2007,0.01,Rafer Alston\alstora01
3,2,-2.3000000000000007,-0.8000000000000007,-1.9000000000000004,-0.009000000000000008,-0.3999999999999999,-1.2000000000000002,-0.012999999999999956,-0.3999999999999999,-0.5999999999999996,-0.010000000000000009,-0.01699999999999996,0.7,0.8000000000000003,0.03500000000000003,0.0,-0.6000000000000001,-0.6000000000000001,0.0,0.09999999999999987,-0.1,-0.40000000000000013,-0.09999999999999987,-1.4000000000000004,2008,0,Rafer Alston\alstora01
-25,-38,-4.5,-1.0999999999999996,-2.0,-0.03700000000000003,-0.3999999999999999,-1.0999999999999996,0.006999999999999951,-0.7000000000000002,-1.1000000000000005,-0.068,-0.041000000000000036,-0.8999999999999999,-1.1,-0.02200000000000002,-0.10000000000000003,-0.2999999999999998,-0.3999999999999999,-1.9,-0.3999999999999999,0.1,0.0,0.19999999999999996,-3.5,2009,0,Rafer Alston\alstora01
-28,-36,-9.999999999999998,-1.9,-4.1,-0.07500000000000001,0.0,-0.1,0.0,-1.9,-3.9999999999999996,-0.08000000000000002,-0.07500000000000001,-0.9000000000000001,-1.5,0.007000000000000006,0.09999999999999998,-1.1999999999999997,-1.2999999999999998,-0.4,-0.19999999999999998,-0.2,-0.5,-0.9000000000000001,-4.7,2001,0,John Amaechi\amaecjo01
-4,1,-1.4000000000000004,-0.30000000000000004,-0.7000000000000002,-0.01100000000000001,0.0,0.0,0.0,-0.30000000000000004,-0.7000000000000002,-0.01100000000000001,-0.01100000000000001,-0.7,-0.8999999999999999,-0.15700000000000003,-0.5,-0.10000000000000009,-0.5,-0.09999999999999998,0.19999999999999998,-0.1,-0.30000000000000004,-0.19999999999999996,-1.2000000000000002,2002,0,John Amaechi\amaecjo01
-12,-55,-8.299999999999997,-1.5,-3.4000000000000004,-0.011999999999999955,0.0,0.19999999999999973,-0.026000000000000023,-1.5,-3.5,0.0,0.00599999999999995,-1.7000000000000002,-1.9000000000000004,0.0050000000000000044,-0.20000000000000007,-1.5,-1.7000000000000002,-0.6000000000000001,-0.5,-0.1,-0.8,-0.6999999999999997,-4.699999999999999,2001,0,Derek Anderson\anderde01
6,49,7.0,1.2000000000000002,2.200000000000001,0.022999999999999965,0.30000000000000004,1.1000000000000005,-0.02300000000000002,0.8000000000000003,1.0999999999999996,0.05499999999999999,0.02300000000000002,0.5,0.5,0.0030000000000000027,0.0,0.7999999999999998,0.7999999999999998,1.1999999999999997,0.19999999999999996,0.1,0.5,0.2999999999999998,3.0999999999999996,2002,0,Derek Anderson\anderde01
-25,-30,1.8999999999999986,-0.20000000000000018,1.0999999999999996,-0.05099999999999999,0.0,0.6999999999999993,-0.044999999999999984,-0.10000000000000009,0.3000000000000007,-0.04899999999999999,-0.055999999999999994,0.0,0.20000000000000018,-0.03500000000000003,-0.19999999999999996,0.30000000000000027,0.10000000000000009,0.20000000000000018,0.10000000000000009,-0.1,0.10000000000000009,-0.3999999999999999,-0.3000000000000007,2003,0,Derek Anderson\anderde01
-4,-14,-9.100000000000001,-1.2999999999999998,-3.6999999999999993,0.013000000000000012,-0.30000000000000004,-1.8999999999999995,0.07900000000000001,-1.0,-1.8000000000000007,-0.035999999999999976,0.02300000000000002,-1.5,-1.8000000000000003,-0.018999999999999906,0.0,-0.8999999999999999,-0.8999999999999999,-1.5,-0.5,0.0,-0.30000000000000004,0.3999999999999999,-4.4,2004,0,Derek Anderson\anderde01
-4,-21,-2.099999999999998,-0.7000000000000002,-1.3000000000000007,-0.03300000000000003,-0.29999999999999993,-0.10000000000000009,-0.08500000000000002,-0.3999999999999999,-1.1999999999999997,0.010000000000000009,-0.041000000000000036,0.7000000000000002,0.7000000000000002,0.03299999999999992,0.0,0.5999999999999996,0.5999999999999996,-0.7000000000000002,-0.30000000000000004,0.0,-0.19999999999999996,0.3999999999999999,-1.0999999999999996,2005,0,Derek Anderson\anderde01
7,21,-0.5,0.0,-1.0999999999999996,0.07300000000000001,0.20000000000000007,-0.10000000000000009,0.055999999999999994,-0.20000000000000018,-1.1,0.10499999999999998,0.09800000000000003,-0.30000000000000027,-0.5,0.039000000000000035,0.09999999999999998,-1.0999999999999999,-1.0,0.40000000000000036,0.5,0.0,-0.19999999999999996,0.0,-0.09999999999999964,2006,0,Derek Anderson\anderde01
-22,-32,-9.700000000000001,-0.8,-1.4000000000000004,-0.05299999999999999,-0.40000000000000013,-1.1,0.010000000000000009,-0.3999999999999999,-0.19999999999999973,-0.123,-0.068,-0.8999999999999999,-0.7000000000000002,-0.14,-0.3,-0.19999999999999996,-0.3999999999999999,-1.1,-0.6,-0.1,-0.20000000000000007,-0.4999999999999998,-3.0,2007,0,Derek Anderson\anderde01
43,48,6.300000000000001,1.3999999999999995,2.5,0.04799999999999999,-0.19999999999999998,-0.6,-0.06,1.7000000000000002,3.0999999999999996,0.046999999999999986,0.030000000000000027,-0.5,-0.5000000000000002,-0.08899999999999997,0.30000000000000004,1.2,1.4,1.2000000000000002,0.5999999999999999,0.0,0.0,0.8999999999999999,2.0999999999999996,2001,0,Kenny Anderson\anderke01
-15,-74,-13.399999999999999,-1.3999999999999995,-3.1000000000000005,-0.009000000000000008,-0.1,-0.30000000000000004,-0.13000000000000003,-1.2999999999999998,-2.9000000000000004,-0.01200000000000001,-0.014000000000000012,-0.6000000000000001,-0.7999999999999999,0.04700000000000004,-0.30000000000000004,-1.2,-1.4,-2.0999999999999996,-0.8999999999999999,0.0,-0.40000000000000013,-1.0999999999999999,-3.5,2002,0,Kenny Anderson\anderke01
-17,29,2.0,-0.10000000000000009,-0.5,0.014000000000000012,0.0,0.0,0.10700000000000001,-0.20000000000000018,-0.39999999999999947,0.01200000000000001,0.015000000000000013,0.10000000000000009,0.20000000000000007,-0.06000000000000005,-0.09999999999999998,-0.30000000000000004,-0.40000000000000013,-0.40000000000000036,-0.4,0.0,-0.09999999999999987,0.0,-0.09999999999999964,2003,0,Kenny Anderson\anderke01
-1,-11,-3.3000000000000007,-0.6000000000000001,-1.0999999999999996,-0.018000000000000016,0.1,0.19999999999999998,0.21200000000000002,-0.7,-1.2999999999999998,-0.02400000000000002,-0.0050000000000000044,-0.20000000000000007,-0.20000000000000007,0.0010000000000000009,0.19999999999999996,0.10000000000000009,0.19999999999999996,-0.3999999999999999,0.20000000000000007,-0.1,0.0,0.30000000000000004,-1.2999999999999998,2004,0,Kenny Anderson\anderke01
-6,0,6.6,0.7,2.3999999999999995,0.030000000000000027,0.4,1.3000000000000003,0.015000000000000013,0.3,0.9999999999999999,0.06399999999999997,0.02899999999999997,0.3,0.6,0.556,0.0,1.1,1.0000000000000002,0.30000000000000004,-0.09999999999999998,0.2,0.6000000000000001,0.5000000000000001,2.2,2001,0,Nick Anderson\anderni01
0,-76,-9.7,-1.4000000000000001,-2.7,-0.046999999999999986,-0.09999999999999998,-0.40000000000000013,0.006000000000000005,-1.3,-2.3,-0.04300000000000004,-0.032999999999999974,-0.7999999999999999,-0.9999999999999998,-0.04200000000000004,-0.20000000000000007,-0.9000000000000004,-1.0999999999999996,-1.4,-0.4,-0.3,-0.40000000000000013,-0.8999999999999999,-3.6999999999999993,2001,0,Shandon Anderson\andersh01
0,3,1.6000000000000014,1.2,2.0,0.063,0.09999999999999998,0.0,0.09399999999999997,1.0999999999999999,2.0,0.020000000000000018,0.057999999999999996,0.7999999999999999,0.9999999999999998,0.040000000000000036,0.10000000000000009,0.0,0.10000000000000009,0.20000000000000007,0.30000000000000004,0.0,0.19999999999999996,0.6000000000000001,3.4000000000000004,2002,0,Shandon Anderson\andersh01
-2,28,3.599999999999998,0.0,0.5999999999999996,-0.040000000000000036,-0.09999999999999998,-0.09999999999999987,-0.08999999999999997,0.10000000000000009,0.7000000000000002,-0.030999999999999972,-0.055999999999999994,-0.19999999999999996,-0.2999999999999998,0.03200000000000003,-0.10000000000000009,-0.19999999999999973,-0.30000000000000027,0.3999999999999999,0.0,0.0,0.10000000000000009,0.09999999999999964,-0.5,2003,0,Shandon Anderson\andersh01
-14,-32,-7.0,-1.5,-3.8,0.030000000000000027,-0.4,-1.2000000000000002,-0.10900000000000004,-1.1,-2.7,0.03199999999999997,0.009000000000000008,-0.7,-1.0,0.05399999999999994,-0.09999999999999998,0.19999999999999973,0.10000000000000009,-0.3999999999999999,-0.30000000000000004,0.0,-0.7,-0.19999999999999973,-4.0,2004,0,Shandon Anderson\andersh01
-18,-4,-4.399999999999999,-0.3999999999999999,-0.6999999999999997,-0.02300000000000002,0.0,0.0,0.09100000000000003,-0.3999999999999999,-0.5999999999999996,-0.03699999999999998,-0.015000000000000013,-0.5,-0.6,-0.09599999999999997,-0.19999999999999996,-0.9999999999999998,-1.2,-0.5000000000000001,-0.19999999999999996,-0.1,-0.30000000000000004,-0.5,-1.2999999999999998,2005,0,Shandon Anderson\andersh01
2,38,10.399999999999999,1.4000000000000001,3.5,0.0020000000000000018,-0.30000000000000004,0.0,-0.11499999999999999,1.6999999999999997,3.6,0.09299999999999997,-0.07600000000000001,0.6,0.9,0.0020000000000000018,0.0,1.1,1.1,3.3000000000000003,0.6000000000000001,0.0,0.9000000000000001,0.7999999999999998,3.0,2001,0,Greg Anthony\anthogr01
7,4,-3.6000000000000014,-1.2999999999999998,-3.3000000000000007,0.007000000000000006,-0.19999999999999996,-0.5,-0.006000000000000005,-1.1,-2.8,0.032999999999999974,0.019000000000000017,-0.6999999999999997,-0.7999999999999998,0.0040000000000000036,-0.30000000000000004,-0.3999999999999999,-0.6999999999999997,-1.5,0.09999999999999987,-0.1,-0.6000000000000001,-0.10000000000000009,-3.5,2001,0,Darrell Armstrong\armstda01
0,-56,-4.599999999999998,-1.0,-2.3,-0.010000000000000009,-0.7,-2.1000000000000005,-0.012999999999999956,-0.20000000000000018,-0.20000000000000018,-0.033999999999999975,-0.03300000000000003,-0.20000000000000018,-0.20000000000000018,-0.010000000000000009,0.10000000000000009,-0.3999999999999999,-0.2999999999999998,-1.6,-0.2999999999999998,0.1,-0.10000000000000009,0.0,-3.0,2002,0,Darrell Armstrong\armstda01
-3,-1,-0.3000000000000007,0.5,1.5000000000000009,-0.013999999999999957,0.7,2.6000000000000005,-0.02100000000000002,-0.2999999999999998,-1.1,0.057999999999999996,0.017000000000000015,-0.3999999999999999,-0.4999999999999998,-0.02400000000000002,-0.30000000000000004,-0.3999999999999999,-0.7000000000000002,0.0,0.09999999999999987,0.0,0.0,-0.10000000000000009,1.1999999999999993,2003,0,Darrell Armstrong\armstda01
-13,-6,-13.399999999999999,-2.4000000000000004,-5.1000000000000005,-0.07400000000000001,-1.2999999999999998,-3.7,-0.063,-1.1,-1.4,-0.14100000000000001,-0.11499999999999999,-0.7000000000000001,-0.8,-0.0010000000000000009,-0.30000000000000004,-0.9000000000000001,-1.2,-1.1999999999999997,-1.0,-0.1,-1.0,-0.5,-6.6,2004,0,Darrell Armstrong\armstda01
-4,-14,-5.0,-0.6000000000000001,-2.1,0.015000000000000013,-0.2,-0.8999999999999999,-0.022999999999999993,-0.4,-1.2,0.03300000000000003,0.007000000000000006,-0.4,-0.30000000000000004,-0.06699999999999995,-0.2,-0.19999999999999996,-0.3999999999999999,-1.3000000000000003,-0.29999999999999993,-0.1,-0.09999999999999998,-0.2999999999999998,-1.9,2005,0,Darrell Armstrong\armstda01
19,2,5.699999999999999,1.2,2.6,0.07799999999999996,0.7,1.8,0.10700000000000001,0.5,0.7,0.11499999999999999,0.13,0.4,0.40000000000000013,-0.0010000000000000009,0.10000000000000003,0.19999999999999996,0.3999999999999999,1.0,0.5,0.1,0.0,0.19999999999999996,3.4999999999999996,2006,0,Darrell Armstrong\armstda01
-31,-2,-4.699999999999999,-1.0999999999999999,-2.5,-0.04999999999999999,-0.4,-1.2000000000000002,-0.0030000000000000027,-0.7,-1.2,-0.10000000000000003,-0.04099999999999998,-0.5,-0.5000000000000001,-0.118,-0.10000000000000003,-0.19999999999999996,-0.3999999999999999,-0.8999999999999999,-0.30000000000000004,-0.1,-0.09999999999999998,-0.19999999999999996,-3.0999999999999996,2007,0,Darrell Armstrong\armstda01
-2,-13,-0.3000000000000007,0.0,-1.8000000000000007,0.067,0.19999999999999996,0.09999999999999964,0.05399999999999999,-0.30000000000000027,-1.8999999999999995,0.08400000000000002,0.09000000000000002,0.0,-0.10000000000000009,0.0,0.10000000000000003,-0.19999999999999996,-0.10000000000000009,-0.7999999999999998,0.09999999999999998,0.0,-0.19999999999999996,-0.09999999999999964,0.09999999999999964,2001,0,Chucky Atkins\atkinch01
-14,-55,-7.399999999999999,-2.1,-2.8,-0.10500000000000004,-0.3999999999999999,-0.5999999999999996,-0.055999999999999994,-1.5999999999999999,-2.3000000000000003,-0.139,-0.09900000000000003,-0.5000000000000001,-0.7,0.124,-0.10000000000000003,-0.40000000000000013,-0.5,-0.5999999999999996,-0.5,0.0,-0.40000000000000013,-0.5000000000000002,-5.0,2002,0,Chucky Atkins\atkinch01
-1,17,2.6000000000000014,0.3999999999999999,0.39999999999999947,0.03600000000000003,0.0,0.09999999999999964,-0.01899999999999996,0.3999999999999999,0.3999999999999999,0.08900000000000002,0.025999999999999968,0.5000000000000001,0.7,-0.06299999999999994,-0.19999999999999998,0.10000000000000009,0.0,0.7999999999999998,0.29999999999999993,-0.1,0.19999999999999996,-0.09999999999999987,1.3000000000000007,2003,0,Chucky Atkins\atkinch01
18,58,11.299999999999997,1.7000000000000002,3.5,0.02899999999999997,0.8,1.7000000000000002,0.05099999999999999,0.9000000000000001,1.7000000000000002,0.009000000000000008,0.04300000000000004,0.8999999999999999,1.0,0.050000000000000044,0.30000000000000004,0.7,0.8999999999999999,0.9000000000000004,0.20000000000000007,0.0,0.40000000000000013,0.6000000000000001,5.199999999999999,2004,0,Chucky Atkins\atkinch01
-11,-41,-11.299999999999997,-1.5,-3.0,-0.03199999999999997,-0.7000000000000002,-1.6,-0.03300000000000003,-0.8,-1.2999999999999998,-0.03500000000000003,-0.04400000000000004,-0.19999999999999996,-0.20000000000000018,-0.01200000000000001,-0.10000000000000003,-0.6000000000000001,-0.7,-1.6000000000000005,-0.30000000000000004,0.0,-0.6000000000000001,-0.10000000000000009,-4.1,2005,0,Chucky Atkins\atkinch01
