Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Season
13,Paul George\georgpa01,21,IND,2.0,13.0,605,0.021,66,29.7,12.1,5.6,2.4,1.6,0.6,0.44,0.385,0.802,6.0,0.148,2011
14,Steve Novak\novakst01,28,NYK,1.0,12.0,605,0.02,54,18.9,8.8,1.9,0.2,0.3,0.2,0.478,0.472,0.846,3.9,0.181,2011
15,DeMarcus Cousins\couside01,21,SAC,0.0,11.0,605,0.018,64,30.5,18.1,11.0,1.6,1.5,1.2,0.448,0.143,0.702,4.2,0.104,2011
16,Kevin Love\loveke01,23,MIN,1.0,8.0,605,0.013,55,39.0,26.0,13.3,2.0,0.9,0.5,0.448,0.372,0.824,10.0,0.223,2011
17T,James Harden\hardeja01,22,OKC,0.0,7.0,605,0.012,62,31.4,16.8,4.1,3.7,1.0,0.2,0.491,0.39,0.846,9.3,0.23,2011
17T,Roy Hibbert\hibbero01,25,IND,0.0,7.0,605,0.012,65,29.8,12.8,8.8,1.7,0.5,2.0,0.497,0.0,0.711,6.2,0.154,2011
19T,Marcin Gortat\gortama01,27,PHO,1.0,6.0,605,0.01,66,32.0,15.4,10.0,0.9,0.7,1.5,0.555,0.0,0.649,7.6,0.172,2011
19T,Gerald Henderson\hendege02,24,CHA,1.0,6.0,605,0.01,55,33.3,15.1,4.1,2.3,0.9,0.4,0.459,0.234,0.76,1.0,0.026,2011
21T,Marc Gasol\gasolma01,27,MEM,1.0,5.0,605,0.008,65,36.5,14.6,8.9,3.1,1.0,1.9,0.482,0.083,0.748,8.2,0.166,2011
21T,Kyle Lowry\lowryky01,25,HOU,1.0,5.0,605,0.008,47,32.1,14.3,4.5,6.6,1.6,0.3,0.409,0.374,0.864,4.9,0.156,2011
23,Gordon Hayward\haywago01,21,UTA,0.0,4.0,605,0.007,66,30.5,11.8,3.5,3.1,0.8,0.6,0.456,0.346,0.832,4.9,0.116,2011
24T,Arron Afflalo\afflaar01,26,DEN,0.0,3.0,605,0.005,62,33.6,15.2,3.2,2.4,0.6,0.2,0.471,0.398,0.798,5.3,0.121,2011
24T,Tony Parker\parketo01,29,SAS,0.0,3.0,605,0.005,60,32.1,18.3,2.9,7.7,1.0,0.1,0.48,0.23,0.799,7.1,0.177,2011
24T,C.J. Watson\watsocj01,27,CHI,0.0,3.0,605,0.005,49,23.7,9.7,2.1,4.1,0.9,0.2,0.368,0.393,0.808,2.6,0.109,2011
24T,Brandan Wright\wrighbr03,24,DAL,0.0,3.0,605,0.005,49,16.1,6.9,3.6,0.3,0.4,1.3,0.618,0.0,0.634,3.5,0.215,2011
28T,Jarrett Jack\jackja01,28,NOH,0.0,1.0,605,0.002,45,34.0,15.6,3.9,6.3,0.7,0.2,0.456,0.348,0.872,3.8,0.119,2011
28T,Marreese Speights\speigma01,24,MEM,0.0,1.0,605,0.002,60,22.4,8.8,6.2,0.8,0.4,0.5,0.453,0.0,0.771,2.7,0.096,2011
1,Paul George\georgpa01,22,IND,52.0,311.0,600,0.518,79,37.6,17.4,7.6,4.1,1.8,0.6,0.419,0.362,0.807,9.0,0.145,2012
2,Greivis Vásquez\vasqugr01,26,NOH,13.0,146.0,600,0.243,78,34.4,13.9,4.3,9.0,0.8,0.1,0.433,0.342,0.805,3.8,0.067,2012
3,Larry Sanders\sandela01,24,MIL,10.0,141.0,600,0.235,71,27.3,9.8,9.5,1.2,0.7,2.8,0.506,0.0,0.618,6.0,0.149,2012
4,Nikola Vučević\vucevni01,22,ORL,10.0,109.0,600,0.182,77,33.2,13.1,11.9,1.9,0.8,1.0,0.519,0.0,0.683,5.7,0.106,2012
5,Jrue Holiday\holidjr01,22,PHI,10.0,102.0,600,0.17,78,37.5,17.7,4.2,8.0,1.6,0.4,0.431,0.368,0.752,3.3,0.055,2012
6,Ömer Aşık\asikom01,26,HOU,9.0,86.0,600,0.143,82,30.0,10.1,11.7,0.9,0.6,1.1,0.541,0.0,0.562,5.5,0.108,2012
7,James Harden\hardeja01,23,HOU,8.0,53.0,600,0.088,78,38.3,25.9,4.9,5.8,1.8,0.5,0.438,0.368,0.851,12.8,0.206,2012
8,Stephen Curry\curryst01,24,GSW,1.0,18.0,600,0.03,78,38.2,22.9,4.0,6.9,1.6,0.2,0.451,0.453,0.9,11.2,0.18,2012
9,Serge Ibaka\ibakase01,23,OKC,1.0,15.0,600,0.025,80,31.1,13.2,7.7,0.5,0.4,3.0,0.573,0.351,0.749,9.4,0.181,2012
10,Chandler Parsons\parsoch01,24,HOU,0.0,14.0,600,0.023,76,36.3,15.5,5.3,3.5,1.0,0.4,0.486,0.385,0.729,7.0,0.121,2012
11,Kemba Walker\walkeke02,22,CHA,0.0,9.0,600,0.015,82,34.9,17.7,3.5,5.7,2.0,0.4,0.423,0.322,0.798,4.8,0.08,2012
12T,J.R. Smith\smithjr01,27,NYK,1.0,8.0,600,0.013,80,33.5,18.1,5.3,2.7,1.3,0.3,0.422,0.356,0.762,6.7,0.12,2012
12T,Klay Thompson\thompkl01,22,GSW,1.0,8.0,600,0.013,82,35.8,16.6,3.7,2.2,1.0,0.5,0.422,0.401,0.841,4.3,0.07,2012
14,Jimmy Butler\butleji01,23,CHI,0.0,7.0,600,0.012,82,26.0,8.6,4.0,1.4,1.0,0.4,0.467,0.381,0.803,7.0,0.158,2012
15T,Ryan Anderson\anderry01,24,NOH,1.0,5.0,600,0.008,81,30.9,16.2,6.4,1.2,0.5,0.4,0.423,0.382,0.844,6.5,0.125,2012
15T,Carmelo Anthony\anthoca01,28,NYK,1.0,5.0,600,0.008,67,37.0,28.7,6.9,2.6,0.8,0.5,0.449,0.379,0.83,9.5,0.184,2012
15T,Andray Blatche\blatcan01,26,BRK,1.0,5.0,600,0.008,82,19.0,10.3,5.1,1.0,1.0,0.7,0.512,0.136,0.685,4.9,0.153,2012
15T,Mike Conley\conlemi01,25,MEM,1.0,5.0,600,0.008,80,34.5,14.6,2.8,6.1,2.2,0.3,0.44,0.362,0.83,9.9,0.172,2012
15T,Kawhi Leonard\leonaka01,21,SAS,0.0,5.0,600,0.008,58,31.2,11.9,6.0,1.6,1.7,0.6,0.494,0.374,0.825,6.2,0.166,2012
20,Kevin Durant\duranke01,24,OKC,0.0,4.0,600,0.007,81,38.5,28.1,7.9,4.6,1.4,1.3,0.51,0.416,0.905,18.9,0.291,2012
21T,Arron Afflalo\afflaar01,27,ORL,0.0,3.0,600,0.005,64,36.0,16.5,3.7,3.2,0.6,0.2,0.439,0.3,0.857,2.0,0.042,2012
21T,Earl Clark\clarkea01,25,LAL,0.0,3.0,600,0.005,59,23.1,7.3,5.5,1.1,0.6,0.7,0.44,0.337,0.697,2.3,0.08,2012
21T,Kenneth Faried\farieke01,23,DEN,0.0,3.0,600,0.005,80,28.1,11.5,9.2,1.0,1.0,1.0,0.552,,0.613,7.8,0.167,2012
21T,Greg Monroe\monrogr01,22,DET,0.0,3.0,600,0.005,81,33.2,16.0,9.6,3.5,1.3,0.7,0.486,0.0,0.689,5.9,0.105,2012
21T,Joakim Noah\noahjo01,27,CHI,0.0,3.0,600,0.005,66,36.8,11.9,11.1,4.0,1.2,2.1,0.481,0.0,0.751,7.3,0.145,2012
26,Tristan Thompson\thomptr01,21,CLE,0.0,2.0,600,0.003,82,31.3,11.7,9.4,1.3,0.7,0.9,0.488,0.0,0.608,5.2,0.098,2012
27T,Tobias Harris\harrito02,20,TOT,0.0,1.0,600,0.002,55,23.6,11.0,5.2,1.3,0.6,0.8,0.455,0.315,0.752,2.4,0.089,2012
27T,Jarrett Jack\jackja01,29,GSW,0.0,1.0,600,0.002,79,29.7,12.9,3.1,5.6,0.8,0.1,0.452,0.404,0.843,5.6,0.115,2012
27T,Ty Lawson\lawsoty01,25,DEN,0.0,1.0,600,0.002,73,34.4,16.7,2.7,6.9,1.5,0.1,0.461,0.366,0.756,7.4,0.141,2012
27T,Brook Lopez\lopezbr01,24,BRK,0.0,1.0,600,0.002,74,30.4,19.4,6.9,0.9,0.4,2.1,0.521,0.0,0.758,9.0,0.191,2012
27T,Robin Lopez\lopezro01,24,NOH,0.0,1.0,600,0.002,82,26.0,11.3,5.6,0.8,0.4,1.6,0.534,,0.778,5.6,0.126,2012
27T,Lance Stephenson\stephla01,22,IND,0.0,1.0,600,0.002,78,29.2,8.8,3.9,2.9,1.0,0.2,0.46,0.33,0.652,5.5,0.115,2012
27T,Jeff Teague\teaguje01,24,ATL,0.0,1.0,600,0.002,80,32.9,14.6,2.3,7.2,1.5,0.4,0.451,0.359,0.881,6.1,0.111,2012
1,Goran Dragić\dragigo01,27,PHO,65.0,408.0,630,0.648,76,35.1,20.3,3.2,5.9,1.4,0.3,0.505,0.408,0.76,10.3,0.186,2013
2,Lance Stephenson\stephla01,23,IND,13.0,158.0,630,0.251,78,35.3,13.8,7.2,4.6,0.7,0.1,0.491,0.352,0.711,7.4,0.13,2013
3,Anthony Davis\davisan02,20,NOP,16.0,155.0,630,0.246,67,35.2,20.8,10.0,1.6,1.3,2.8,0.519,0.222,0.791,10.4,0.212,2013
4,Gerald Green\greenge01,28,PHO,16.0,117.0,630,0.186,82,28.4,15.8,3.4,1.5,0.9,0.5,0.445,0.4,0.848,6.1,0.126,2013
5,DeAndre Jordan\jordade01,25,LAC,4.0,66.0,630,0.105,82,35.0,10.4,13.6,0.9,1.0,2.5,0.676,,0.428,11.1,0.186,2013
6,Kyle Lowry\lowryky01,27,TOR,2.0,43.0,630,0.068,79,36.2,17.9,4.7,7.4,1.5,0.2,0.423,0.38,0.813,11.7,0.197,2013
7,Blake Griffin\griffbl01,24,LAC,6.0,39.0,630,0.062,80,35.8,24.1,9.5,3.9,1.2,0.6,0.528,0.273,0.715,12.2,0.205,2013
8,DeMar DeRozan\derozde01,24,TOR,1.0,28.0,630,0.044,79,38.2,22.7,4.3,4.0,1.1,0.4,0.429,0.305,0.824,8.8,0.141,2013
9,Patty Mills\millspa02,25,SAS,0.0,14.0,630,0.022,81,18.9,10.2,2.1,1.8,0.8,0.1,0.464,0.425,0.89,5.6,0.175,2013
10T,Markieff Morris\morrima02,24,PHO,1.0,13.0,630,0.021,81,26.6,13.8,6.0,1.8,0.8,0.6,0.486,0.315,0.792,6.4,0.143,2013
10T,Isaiah Thomas\thomais02,24,SAC,0.0,13.0,630,0.021,72,34.7,20.3,2.9,6.3,1.3,0.1,0.453,0.349,0.85,7.7,0.149,2013
12,Shaun Livingston\livinsh01,28,BRK,0.0,11.0,630,0.017,76,26.0,8.3,3.2,3.2,1.2,0.4,0.483,0.167,0.827,4.4,0.108,2013
13,D.J. Augustin\augusdj01,26,TOT,1.0,9.0,630,0.014,71,27.3,13.1,1.8,4.4,0.7,0.0,0.415,0.401,0.885,6.2,0.154,2013
14,Reggie Jackson\jacksre01,23,OKC,0.0,8.0,630,0.013,80,28.5,13.1,3.9,4.1,1.1,0.1,0.44,0.339,0.893,4.9,0.104,2013
15T,Robin Lopez\lopezro01,25,POR,0.0,6.0,630,0.01,82,31.7,11.1,8.5,0.9,0.3,1.7,0.551,0.0,0.818,9.5,0.176,2013
15T,Klay Thompson\thompkl01,23,GSW,0.0,6.0,630,0.01,81,35.4,18.4,3.1,2.2,0.9,0.5,0.444,0.417,0.795,6.7,0.112,2013
17T,Kevin Durant\duranke01,25,OKC,1.0,5.0,630,0.008,81,38.5,32.0,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295,2013
17T,DeMarcus Cousins\couside01,23,SAC,0.0,5.0,630,0.008,71,32.4,22.7,11.7,2.9,1.5,1.3,0.496,0.0,0.726,7.9,0.166,2013
19,Al Jefferson\jeffeal01,29,CHA,0.0,4.0,630,0.006,73,35.0,21.8,10.8,2.1,0.9,1.1,0.509,0.2,0.69,7.8,0.146,2013
20T,Bradley Beal\bealbr01,20,WAS,0.0,3.0,630,0.005,73,34.7,17.1,3.7,3.3,1.0,0.2,0.419,0.402,0.788,4.0,0.076,2013
20T,Mike Conley\conlemi01,26,MEM,0.0,3.0,630,0.005,73,33.5,17.2,2.9,6.0,1.5,0.2,0.45,0.361,0.815,8.2,0.161,2013
20T,Andre Drummond\drumman01,20,DET,0.0,3.0,630,0.005,81,32.3,13.5,13.2,0.4,1.2,1.6,0.623,0.0,0.418,9.9,0.182,2013
20T,Taj Gibson\gibsota01,28,CHI,0.0,3.0,630,0.005,82,28.7,13.0,6.8,1.1,0.5,1.4,0.479,0.0,0.751,5.7,0.117,2013
20T,LeBron James\jamesle01,29,MIA,0.0,3.0,630,0.005,77,37.7,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.75,15.9,0.264,2013
20T,Terrence Jones\joneste01,22,HOU,0.0,3.0,630,0.005,76,27.3,12.1,6.9,1.1,0.7,1.3,0.542,0.307,0.605,7.3,0.169,2013
20T,Jodie Meeks\meeksjo01,26,LAL,0.0,3.0,630,0.005,77,33.2,15.7,2.5,1.8,1.4,0.1,0.463,0.401,0.857,4.5,0.084,2013
27T,LaMarcus Aldridge\aldrila01,28,POR,0.0,1.0,630,0.002,69,36.2,23.2,11.1,2.6,0.9,1.0,0.458,0.2,0.822,7.5,0.144,2013
27T,Alec Burks\burksal01,22,UTA,0.0,1.0,630,0.002,78,28.1,14.0,3.3,2.7,0.9,0.2,0.457,0.35,0.748,3.2,0.07,2013
27T,Paul Millsap\millspa01,28,ATL,0.0,1.0,630,0.002,74,33.5,17.9,8.5,3.1,1.7,1.1,0.461,0.358,0.731,6.7,0.129,2013
27T,Chandler Parsons\parsoch01,25,HOU,0.0,1.0,630,0.002,74,37.6,16.6,5.5,4.0,1.2,0.4,0.472,0.37,0.742,7.6,0.131,2013
27T,John Wall\walljo01,23,WAS,0.0,1.0,630,0.002,82,36.3,19.3,4.1,8.8,1.8,0.5,0.433,0.351,0.805,7.9,0.128,2013
1,Jimmy Butler\butleji01,25,CHI,92.0,535.0,645,0.829,65,38.7,20.0,5.8,3.3,1.8,0.6,0.462,0.378,0.834,11.2,0.214,2014
2,Draymond Green\greendr01,24,GSW,11.0,200.0,645,0.31,79,31.5,11.7,8.2,3.7,1.6,1.3,0.443,0.337,0.66,8.5,0.163,2014
3,Rudy Gobert\goberru01,22,UTA,12.0,189.0,645,0.293,82,26.3,8.4,9.5,1.3,0.8,2.3,0.604,0.0,0.623,9.3,0.206,2014
4,Hassan Whiteside\whiteha01,25,MIA,5.0,88.0,645,0.136,48,23.8,11.8,10.0,0.1,0.6,2.6,0.628,,0.5,5.3,0.221,2014
5,Klay Thompson\thompkl01,24,GSW,2.0,42.0,645,0.065,77,31.9,21.7,3.2,2.9,1.1,0.8,0.463,0.439,0.879,8.8,0.172,2014
6,Anthony Davis\davisan02,21,NOP,4.0,27.0,645,0.042,68,36.1,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,14.0,0.274,2014
7,Giannis Antetokounmpo\antetgi01,20,MIL,1.0,22.0,645,0.034,81,31.4,12.7,6.7,2.6,0.9,1.0,0.491,0.159,0.741,6.2,0.117,2014
8,Donatas Motiejūnas\motiedo01,24,HOU,0.0,7.0,645,0.011,71,28.7,12.0,5.9,1.8,0.8,0.5,0.504,0.368,0.602,4.7,0.11,2014
9,Dennis Schröder\schrode01,21,ATL,0.0,6.0,645,0.009,77,19.7,10.0,2.1,4.1,0.6,0.1,0.427,0.351,0.827,2.5,0.08,2014
10T,DeMarre Carroll\carrode01,28,ATL,1.0,5.0,645,0.008,70,31.3,12.6,5.3,1.7,1.3,0.2,0.487,0.395,0.702,7.0,0.154,2014
10T,Tyler Zeller\zellety01,25,BOS,1.0,5.0,645,0.008,82,21.1,10.2,5.7,1.4,0.2,0.6,0.549,,0.823,6.5,0.179,2014
12T,DeMarcus Cousins\couside01,24,SAC,0.0,4.0,645,0.006,59,34.1,24.1,12.7,3.6,1.5,1.7,0.467,0.25,0.782,6.0,0.144,2014
12T,Khris Middleton\middlkh01,23,MIL,0.0,4.0,645,0.006,79,30.1,13.4,4.4,2.3,1.5,0.1,0.467,0.407,0.859,6.7,0.135,2014
14T,Jae Crowder\crowdja01,24,TOT,0.0,3.0,645,0.005,82,20.1,7.7,3.6,1.1,0.9,0.3,0.42,0.293,0.773,3.9,0.113,2014
14T,Kyrie Irving\irvinky01,22,CLE,0.0,3.0,645,0.005,75,36.4,21.7,3.2,5.2,1.5,0.3,0.468,0.415,0.863,10.4,0.183,2014
14T,DeAndre Jordan\jordade01,26,LAC,0.0,3.0,645,0.005,82,34.4,11.5,15.0,0.7,1.0,2.2,0.71,0.25,0.397,12.8,0.217,2014
14T,Victor Oladipo\oladivi01,22,ORL,0.0,3.0,645,0.005,72,35.7,17.9,4.2,4.1,1.7,0.3,0.436,0.339,0.819,3.5,0.065,2014
18T,Kentavious Caldwell-Pope\caldwke01,21,DET,0.0,2.0,645,0.003,82,31.5,12.7,3.1,1.3,1.1,0.2,0.401,0.345,0.696,2.8,0.052,2014
18T,Nikola Vučević\vucevni01,24,ORL,0.0,2.0,645,0.003,74,34.2,19.3,10.9,2.0,0.7,0.7,0.523,0.333,0.752,7.0,0.133,2014
20T,Robert Covington\covinro01,24,PHI,0.0,1.0,645,0.002,70,27.9,13.5,4.5,1.5,1.4,0.4,0.396,0.374,0.82,4.0,0.097,2014
20T,Tyreke Evans\evansty01,25,NOP,0.0,1.0,645,0.002,79,34.1,16.6,5.3,6.6,1.3,0.5,0.447,0.304,0.694,4.6,0.082,2014
20T,Derrick Favors\favorde01,23,UTA,0.0,1.0,645,0.002,74,30.8,16.0,8.2,1.5,0.8,1.7,0.525,0.167,0.669,8.3,0.175,2014
20T,Marc Gasol\gasolma01,30,MEM,0.0,1.0,645,0.002,81,33.2,17.4,7.8,3.8,0.9,1.6,0.494,0.176,0.795,10.2,0.182,2014
20T,Tobias Harris\harrito02,22,ORL,0.0,1.0,645,0.002,68,34.8,17.1,6.3,1.8,1.0,0.5,0.466,0.364,0.788,4.8,0.098,2014
20T,Gordon Hayward\haywago01,24,UTA,0.0,1.0,645,0.002,76,34.4,19.3,4.9,4.1,1.4,0.4,0.445,0.364,0.812,8.7,0.159,2014
20T,George Hill\hillge01,28,IND,0.0,1.0,645,0.002,43,29.5,16.1,4.2,5.1,1.0,0.3,0.477,0.358,0.79,5.4,0.203,2014
20T,Enes Kanter\kanteen01,22,TOT,0.0,1.0,645,0.002,75,28.5,15.5,8.9,0.7,0.5,0.4,0.519,0.356,0.782,6.4,0.145,2014
20T,Brandon Knight\knighbr03,23,TOT,0.0,1.0,645,0.002,63,32.3,17.0,3.9,5.2,1.4,0.2,0.422,0.389,0.874,4.5,0.106,2014
20T,Kawhi Leonard\leonaka01,23,SAS,0.0,1.0,645,0.002,64,31.8,16.5,7.2,2.5,2.3,0.8,0.479,0.349,0.802,8.6,0.204,2014
20T,Meyers Leonard\leoname01,22,POR,0.0,1.0,645,0.002,55,15.4,5.9,4.5,0.6,0.2,0.3,0.51,0.42,0.938,2.8,0.158,2014
1,CJ McCollum\mccolcj01,24,POR,101.0,559.0,650,0.86,80,34.8,20.8,3.2,4.3,1.2,0.3,0.448,0.417,0.827,6.0,0.104,2015
2,Kemba Walker\walkeke02,25,CHO,7.0,166.0,650,0.255,81,35.6,20.9,4.4,5.2,1.6,0.5,0.427,0.371,0.847,9.9,0.165,2015
3,Giannis Antetokounmpo\antetgi01,21,MIL,4.0,99.0,650,0.152,80,35.3,16.9,7.7,4.3,1.2,1.4,0.506,0.257,0.724,7.1,0.121,2015
4,Stephen Curry\curryst01,27,GSW,7.0,83.0,650,0.128,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318,2015
5,Will Barton\bartowi01,25,DEN,1.0,62.0,650,0.095,82,28.7,14.4,5.8,2.5,0.9,0.5,0.432,0.345,0.806,4.3,0.088,2015
6,Jae Crowder\crowdja01,25,BOS,1.0,45.0,650,0.069,73,31.6,14.2,5.1,1.8,1.7,0.5,0.443,0.336,0.82,7.3,0.152,2015
7,Draymond Green\greendr01,25,GSW,2.0,43.0,650,0.066,81,34.7,14.0,9.5,7.4,1.5,1.4,0.49,0.388,0.696,11.1,0.19,2015
8,Isaiah Thomas\thomais02,26,BOS,3.0,30.0,650,0.046,82,32.2,22.2,3.0,6.2,1.1,0.1,0.428,0.359,0.871,9.7,0.177,2015
9,Hassan Whiteside\whiteha01,26,MIA,1.0,26.0,650,0.04,73,29.1,14.2,11.8,0.4,0.6,3.7,0.606,,0.65,10.3,0.233,2015
10,Kawhi Leonard\leonaka01,24,SAS,1.0,18.0,650,0.028,72,33.1,21.2,6.8,2.6,1.8,1.0,0.506,0.443,0.874,13.7,0.277,2015
11,Andre Drummond\drumman01,22,DET,1.0,11.0,650,0.017,81,32.9,16.2,14.8,0.8,1.5,1.4,0.521,0.333,0.355,7.4,0.133,2015
12,Gary Harris\harriga01,21,DEN,1.0,6.0,650,0.009,76,32.1,12.3,2.9,1.9,1.3,0.2,0.469,0.354,0.82,4.0,0.079,2015
13T,Kent Bazemore\bazemke01,26,ATL,0.0,4.0,650,0.006,75,27.8,11.6,5.1,2.3,1.3,0.5,0.441,0.357,0.815,4.1,0.094,2015
13T,Evan Fournier\fournev01,23,ORL,0.0,4.0,650,0.006,79,32.5,15.4,2.8,2.7,1.2,0.0,0.462,0.4,0.836,5.7,0.106,2015
15T,Rodney Hood\hoodro01,23,UTA,0.0,3.0,650,0.005,79,32.2,14.5,3.4,2.7,0.9,0.2,0.42,0.359,0.86,6.0,0.112,2015
15T,Reggie Jackson\jacksre01,25,DET,0.0,3.0,650,0.005,79,30.7,18.8,3.2,6.2,0.7,0.1,0.434,0.353,0.864,6.9,0.136,2015
15T,Ian Mahinmi\mahinia01,29,IND,0.0,3.0,650,0.005,71,25.6,9.3,7.1,1.5,0.9,1.1,0.589,,0.587,6.2,0.163,2015
15T,Russell Westbrook\westbru01,27,OKC,0.0,3.0,650,0.005,80,34.4,23.5,7.8,10.4,2.0,0.3,0.454,0.296,0.812,14.0,0.245,2015
19T,Zach LaVine\lavinza01,20,MIN,0.0,1.0,650,0.002,82,28.0,14.0,2.8,3.1,0.8,0.2,0.452,0.389,0.793,2.6,0.054,2015
19T,Kyle Lowry\lowryky01,29,TOR,0.0,1.0,650,0.002,77,37.0,21.2,4.7,6.4,2.1,0.4,0.427,0.388,0.811,11.6,0.196,2015
1,Giannis Antetokounmpo\antetgi01,22,MIL,80.0,428.0,500,0.856,80,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4,0.21,2016
2,Nikola Jokić\jokicni01,21,DEN,14.0,161.0,500,0.322,73,27.9,16.7,9.8,4.9,0.8,0.8,0.578,0.324,0.825,9.7,0.228,2016
3,Rudy Gobert\goberru01,24,UTA,1.0,113.0,500,0.226,81,33.9,14.0,12.8,1.2,0.6,2.6,0.661,0.0,0.653,14.3,0.25,2016
4,Otto Porter\porteot01,23,WAS,1.0,43.0,500,0.086,80,32.6,13.4,6.4,1.5,1.5,0.5,0.516,0.434,0.832,9.4,0.173,2016
5,Isaiah Thomas\thomais02,27,BOS,0.0,35.0,500,0.07,76,33.8,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,12.5,0.234,2016
6,James Johnson\johnsja01,29,MIA,1.0,34.0,500,0.068,76,27.4,12.8,4.9,3.6,1.0,1.1,0.479,0.34,0.707,5.1,0.117,2016
7,Bradley Beal\bealbr01,23,WAS,1.0,19.0,500,0.038,77,34.9,23.1,3.1,3.5,1.1,0.3,0.482,0.404,0.825,8.5,0.152,2016
8,Devin Booker\bookede01,20,PHO,1.0,18.0,500,0.036,78,35.0,22.1,3.2,3.4,0.9,0.3,0.423,0.363,0.832,2.0,0.035,2016
9,Tim Hardaway\hardati02,24,ATL,0.0,14.0,500,0.028,79,27.3,14.5,2.8,2.3,0.7,0.2,0.455,0.357,0.766,4.8,0.107,2016
10,Mike Conley\conlemi01,29,MEM,1.0,5.0,500,0.01,69,33.2,20.5,3.5,6.3,1.3,0.3,0.46,0.408,0.859,10.0,0.209,2016
11,Dion Waiters\waitedi01,25,MIA,0.0,4.0,500,0.008,46,30.1,15.8,3.3,4.3,0.9,0.4,0.424,0.395,0.646,1.6,0.057,2016
12T,Gordon Hayward\haywago01,26,UTA,0.0,3.0,500,0.006,73,34.5,21.9,5.4,3.5,1.0,0.3,0.471,0.398,0.844,10.4,0.199,2016
12T,Jusuf Nurkić\nurkiju01,22,TOT,0.0,3.0,500,0.006,65,21.4,10.2,7.2,1.9,0.8,1.1,0.507,0.0,0.571,2.0,0.068,2016
12T,Kristaps Porziņģis\porzikr01,21,NYK,0.0,3.0,500,0.006,66,32.8,18.1,7.2,1.5,0.7,2.0,0.45,0.357,0.786,4.5,0.1,2016
12T,Dennis Schröder\schrode01,23,ATL,0.0,3.0,500,0.006,79,31.5,17.9,3.1,6.3,0.9,0.2,0.451,0.34,0.855,3.7,0.071,2016
16T,Harrison Barnes\barneha02,24,DAL,0.0,2.0,500,0.004,79,35.5,19.2,5.0,1.5,0.8,0.2,0.468,0.351,0.861,4.6,0.078,2016
16T,Seth Curry\curryse01,26,DAL,0.0,2.0,500,0.004,70,29.0,12.8,2.6,2.7,1.1,0.1,0.481,0.425,0.85,4.6,0.11,2016
16T,Gary Harris\harriga01,22,DEN,0.0,2.0,500,0.004,57,31.3,14.9,3.1,2.9,1.2,0.1,0.502,0.42,0.776,4.6,0.124,2016
16T,Myles Turner\turnemy01,20,IND,0.0,2.0,500,0.004,81,31.4,14.5,7.3,1.3,0.9,2.1,0.511,0.348,0.809,8.0,0.151,2016
20T,Avery Bradley\bradlav01,26,BOS,0.0,1.0,500,0.002,55,33.4,16.3,6.1,2.2,1.2,0.2,0.463,0.39,0.731,3.1,0.081,2016
20T,Clint Capela\capelca01,22,HOU,0.0,1.0,500,0.002,65,23.9,12.6,8.1,1.0,0.5,1.2,0.643,,0.531,5.9,0.184,2016
20T,DeMar DeRozan\derozde01,27,TOR,0.0,1.0,500,0.002,74,35.4,27.3,5.2,3.9,1.1,0.2,0.467,0.266,0.842,9.0,0.166,2016
20T,Joe Ingles\inglejo01,29,UTA,0.0,1.0,500,0.002,82,24.0,7.1,3.2,2.7,1.2,0.1,0.452,0.441,0.735,5.0,0.123,2016
20T,John Wall\walljo01,26,WAS,0.0,1.0,500,0.002,78,36.4,23.1,4.2,10.7,2.0,0.6,0.451,0.327,0.801,8.8,0.149,2016
20T,Hassan Whiteside\whiteha01,27,MIA,0.0,1.0,500,0.002,77,32.6,17.0,14.1,0.7,0.7,2.1,0.557,,0.628,9.5,0.181,2016
1,Victor Oladipo\oladivi01,25,IND,99.0,499.0,505,0.988,75,34.0,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.2,0.155,2017
2,Clint Capela\capelca01,23,HOU,1.0,99.0,505,0.196,74,27.5,13.9,10.8,0.9,0.8,1.9,0.652,0.0,0.56,10.2,0.242,2017
3,Spencer Dinwiddie\dinwisp01,24,BRK,1.0,50.0,505,0.099,80,28.8,12.6,3.2,6.6,0.9,0.3,0.387,0.326,0.813,5.7,0.118,2017
4,Andre Drummond\drumman01,24,DET,0.0,46.0,505,0.091,78,33.7,15.0,16.0,3.0,1.5,1.6,0.529,0.0,0.605,10.3,0.189,2017
5,Julius Randle\randlju01,23,LAL,0.0,36.0,505,0.071,82,26.7,16.1,8.0,2.6,0.5,0.5,0.558,0.222,0.718,6.6,0.145,2017
6,Steven Adams\adamsst01,24,OKC,0.0,34.0,505,0.067,76,32.7,13.9,9.0,1.2,1.2,1.0,0.629,0.0,0.559,9.7,0.187,2017
7,Jaylen Brown\brownja02,21,BOS,0.0,32.0,505,0.063,70,30.7,14.5,4.9,1.6,1.0,0.4,0.465,0.395,0.644,4.5,0.1,2017
